% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
5.75	6	1	6	1	3	200	55400	200	55400	0.00471429	0	0.00471429	0.00471429	277	0	277	277	
5.75	6	1	7	21	3	200	55400	200	55400	0.00471429	0	0.00471429	0.00471429	277	0	277	277	
5.75	6	1	8	28	3	200	55400	200	55400	0.00471429	0	0.00471429	0.00471429	277	0	277	277	
5.75	6	1	9	22	3	200	55400	200	55400	0.00471429	0	0.00471429	0.00471429	277	0	277	277	
5.75	6	1	10	24	3	200	55400	200	55400	0.00471429	0	0.00471429	0.00471429	277	0	277	277	
6	6.25	1	1	14	3	200	55400	200	55400	0.00471429	0	0.00471429	0.00471429	277	0	277	277	
6	6.25	1	2	2	3	200	55400	200	55400	0.00471429	0	0.00471429	0.00471429	277	0	277	277	
6	6.25	1	3	3	3	200	55400	200	55400	0.00471429	0	0.00471429	0.00471429	277	0	277	277	
6	6.25	1	4	12	3	200	55400	200	55400	0.00471429	0	0.00471429	0.00471429	277	0	277	277	
6	6.25	1	5	15	3	200	55400	200	55400	0.00471429	0	0.00471429	0.00471429	277	0	277	277	
6	6.25	1	6	1	3	200	55400	200	55400	0.00471429	0	0.00471429	0.00471429	277	0	277	277	
6	6.25	1	7	21	3	200	55400	200	55400	0.00471429	0	0.00471429	0.00471429	277	0	277	277	
6	6.25	1	8	28	3	200	55400	200	55400	0.00471429	0	0.00471429	0.00471429	277	0	277	277	
6	6.25	1	9	22	3	200	55400	200	55400	0.00471429	0	0.00471429	0.00471429	277	0	277	277	
6	6.25	1	10	24	3	200	55400	200	55400	0.00471429	0	0.00471429	0.00471429	277	0	277	277	
6.25	6.5	1	1	14	3	200	55400	200	55400	0.00471429	0	0.00471429	0.00471429	277	0	277	277	
6.25	6.5	1	2	2	3	200	55400	200	55400	0.00471429	0	0.00471429	0.00471429	277	0	277	277	
6.25	6.5	1	3	3	3	200	55400	200	55400	0.00471429	0	0.00471429	0.00471429	277	0	277	277	
